feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
morning_share,-0.08029782530211639,0.5847997130268553,0.2852480257396747,-0.4824057603704625,-0.35130591772067044,0.1918026126910455,-0.2229330058379342,0.22101001665904701,-0.05734329560584539,0.22876958044994664,0.03288018442320694
afternoon_share,-0.027176900136171675,0.8815073225169784,0.028219130050271008,0.3233812087819971,0.21137718309599535,-0.16765313805493606,0.06288373657132335,0.08842103423342965,0.04129507449576268,-0.09787308725166138,0.0036183084058908506
evening_share,0.4927978742985002,-0.784304922658557,-0.2119769315996225,0.098646619543094,-0.04232460925545585,0.013085867702723923,-0.08195094999671128,-0.2231648123837685,0.048974871676839546,-0.07721899427236435,-0.011989238884826087
night_share,-0.7758848125214476,-0.49287999543784317,0.05630854603280301,-0.18297761910724755,0.11121784558587888,0.03654337241937332,0.2786949326515299,0.050340847175238304,-0.09393153329864704,0.058330484875796146,-0.01673593724822406
night_day_ratio,-0.4983153226359558,-0.7379479292276406,-0.03423314897582458,-0.1831125453805725,0.13892241593096066,0.03299075222943036,0.3239950223798408,-0.07470331630577631,-0.09798067242472724,0.09528028975369936,0.002506266719301571
peak_hour_sin,-0.23758660044189506,0.4240940338221434,0.16850245634198552,-0.5251140024569896,-0.25901181851530114,0.42394665004856447,0.267735235957595,-0.2573462634807597,0.042132383492735064,-0.09264257383457353,0.21208605930201654
peak_hour_cos,0.2628106974700289,-0.772468039492498,-0.16487738247904396,0.20788273240452276,-0.06735540110621012,-0.19825678015957188,-0.12797969549327556,0.07204043737841194,0.1224972652262859,0.3000565291260763,0.2478453377047542
peak_concentration,0.968700202040633,-0.02211635711838927,-0.03703015090097165,-0.1323731603068802,0.0658366123383694,-0.018706979568703482,0.04372685218939492,-0.08857781084979684,0.035546142884614565,-0.006239139244961928,0.03647962527276906
profile_ramp,0.9649169097661173,-0.13196999521478175,0.029355818355254533,-0.11508453094753666,-0.026589206826661604,0.020954086331007128,-0.019564008169713133,0.07032926060050544,-0.021761614354203988,-0.04494205425549527,0.008413933362127465
weekend_ratio,0.040545804222220844,-0.4012978862807938,-0.12404539799982389,0.7281897558153841,-0.19692854894323067,0.31216177571013987,0.05714233037777952,0.13559330576795406,-0.09539108379917108,-0.20139473092778848,0.20614659403536223
weekend_shape_distance,0.764156484681655,-0.34596299231435174,-0.047802414981785626,0.030626318656931342,0.0552502900428236,0.21549815978763076,0.07265048402495487,-0.11562932169464697,-0.2869126001804264,0.13161467471923052,-0.19251121724688022
shape_entropy,-0.9365892657286814,-0.22643302070301607,0.05328386145107232,0.11876958590240837,-0.09717494150579288,0.06100927421835095,-0.014658995505557645,0.10011464417807579,0.016107550083657947,-0.010693140831245927,-0.04478426304443338
shape_gini,0.9567878774600225,0.24866219127898964,-0.07063001968794631,-0.020972598857782104,0.026601454980173224,-0.034209178625787415,-0.026028461560804513,-0.09259797259234158,-0.011626804866940246,0.016674809894621626,0.03903040384310225
base_load_share,-0.8897273686408924,-0.3097103432143408,0.10199205919183266,-0.11729457021126526,0.07811500665744517,0.007129323297657249,0.12178375523599874,0.09716570010817945,0.00951547362296304,-0.042467705181653596,-0.014769346690386959
harmonic_1_amplitude,0.6857475949705539,0.594559817227008,-0.098510917656382,0.18445750723213944,0.13716397419127654,-0.06530210343290772,0.08015497287002826,-0.2600174407739011,0.03230773282707669,0.05799934141197908,0.0362867992496951
harmonic_2_amplitude,0.7968673205530193,-0.4569700510936922,-0.03187475337035565,-0.24784088477882682,-0.12496559824774861,0.025293721815292224,-0.15316999587187452,0.04887426226961259,-0.031720131953196264,0.0014517089506630694,0.08245307232701654
harmonic_3_amplitude,0.7000230741002619,-0.2923494581158538,0.011574242100713028,-0.23646456593173173,0.12351313633877237,0.08169295761657358,0.30684693831568244,0.12433825459728245,0.4244107142619586,0.024711059525757913,-0.07601628643600415
haar_detail_l1,0.8173833278267703,-0.23186704522633791,0.06459781735341442,-0.19006979734697818,-0.02491300937104225,0.0665764162534166,0.02263499297756285,0.3065557658458737,-0.00901884861458419,-0.2211694862874019,-0.02375851203616545
haar_detail_l2,0.7978934356810456,-0.3422964438785818,0.006929335637346734,-0.30408613076392055,-0.08877973811950397,0.021048781829979685,-0.16091583984153385,0.1302407778642628,-0.004545675226209235,-0.11245924897670644,-0.11803479280708702
haar_detail_l3,0.636413243769266,0.30599132471305873,-0.011244442009296843,-0.21222215842731706,0.3925528160333317,-0.2239835430784705,0.27075992741910465,0.2785646344521721,-0.2049933788028256,0.028432083931232987,0.177308821831939
peak_to_avg_ratio,0.7698800886675087,-0.03122232803185776,0.5611837705138472,0.12933759773602843,-0.06061845993514708,-0.002715065266183209,0.0018096554056538092,-0.04652043508130201,-0.02439062787751012,0.030215980197402667,0.01362446303061669
coefficient_of_variation,0.9595316050750416,0.08480374709935598,0.10427183741153803,0.16122875787595517,-0.06058173446109956,0.06756659300076993,0.05103708638394056,-0.04787302907029535,-0.04406301264757291,0.02269765367380826,-0.02565689533226023
skewness,0.11341264404800738,-0.313326747102793,0.9099693601850494,0.13863225906643648,0.07289985785884823,-0.06572905260868542,-0.01831337435782019,-0.06794810858335192,0.011915778014390857,-0.03130635247382177,0.010938619348650687
kurtosis,-0.07346770531372054,-0.26196191206417746,0.9267825142825261,0.08575550950743514,0.10918125429121663,-0.13606269233757232,-0.03583347281737589,-0.06789364347783881,0.0017864372104216444,-0.026280353760003258,0.03456349173925032
daily_total_cv,0.3548464757115856,0.30447027617263905,0.1567277480926271,0.6354194360426653,-0.2474083126689687,0.26567762250232185,0.2800843393330531,0.18566517683517694,0.06416861307725517,0.19007117212535288,-0.1135550401932604
p90_median_ratio,0.9496803658669816,-0.004812613545606767,-0.09599026751763799,0.007069187600767033,0.0015871824706242248,0.04717092208950554,0.16032368592381677,-0.038394724998658085,-0.04012428971950765,0.028654746209272785,0.007647958602704241
