feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
hour_0_shape,0.5705692767851107,0.6502522512008168,-0.18939737753026356,-0.3211514489942059,0.045414512861649436,-0.1355261224880206,0.10168362373718566,-0.05136049517041863,0.18075395556466228,-0.06114507532369259,0.04120253933748928
hour_1_shape,0.38446966180920283,0.8261999448480493,-0.20194670192545927,-0.13156167479886663,0.07830583374399558,-0.06880233071919578,0.12834229204965342,-0.014895099982011719,0.15980691933611507,-0.1251586609527849,0.018883848555029212
hour_2_shape,0.12182636817119705,0.9433924811556466,-0.15073463095728598,-0.0042619630503806395,0.10359187479250316,0.025368657667661897,0.098934154708224,0.01655476782141276,0.03992919675973824,-0.06659108418031658,0.0019831859735036043
hour_3_shape,0.02770890514768076,0.9355053800217211,-0.055007112158262185,0.1327379388857059,0.12264136244732447,0.08895878515308518,0.043998914207124505,0.09254982921781975,-0.07355902873037987,-0.08159141654009966,-0.06675165652179606
hour_4_shape,-0.034992053071207195,0.8741859758120848,0.10256317680090965,0.34599647150229396,0.07514935604092854,0.05750463735664826,-0.019315144138701872,0.1491607717552696,-0.09565236715214748,-0.05489680108046582,-0.04130171529595057
hour_5_shape,0.021161131718353956,0.6128533652753076,0.36658812989444345,0.5288186053821794,-0.003669874124828082,-0.1558043243210593,-0.21009127114288367,0.24072598529323727,-0.0668791822530628,-0.06593437724331827,0.03435678365638999
hour_6_shape,0.04752765961724761,0.2353582144042712,0.6003696062281909,0.5955267450675402,-0.13136325486987052,-0.28917287732341446,-0.22356619831496655,0.03361440185940901,0.03619530967389373,0.07500210478521513,0.08181102980666763
hour_7_shape,-0.005456847936650165,-0.06445187367775321,0.7697556477619866,0.44764462974947006,-0.12121457345741582,-0.11022621286644603,-0.029644325769406808,-0.15517618655489096,0.2731981273547471,0.10499932058889572,0.0214651646054294
hour_8_shape,-0.18417447268404763,-0.09791339015098072,0.83330670252359,0.01706075875828532,-0.07829478490842146,0.23092763286156365,0.14570274358366553,-0.23286749184100064,0.1789476057668274,0.019204064365296966,-0.21957249835239964
hour_9_shape,-0.6083650522560617,-0.012189171138149116,0.5617476007047038,-0.30837200352956484,-0.006538591813694444,0.3634867328157966,0.05779509061315591,0.0176979061426957,0.0672766459039364,-0.1042964026346667,0.04920897759663659
hour_10_shape,-0.7899976688286366,0.02630123265328597,0.2490348083522051,-0.4017061774319115,0.04266746609316624,0.23186277241356162,0.011050407814301564,0.038400547633122055,-0.04760014515731993,-0.14066299406409022,0.08695348015790898
